"ประทับเวลา","Name_TH","Name_Eng","Kind","RATE","Review","Mood","DATE_TIME","Weather","Temperature"
"2565/04/13 12:05:11 ก่อนเที่ยง GMT+7","แกงพะแนง","Kaeng Phanaeng ","4_Meat and Poultry","6","มีความหวานเป็นพิเศษ จนทำให้มีรสชาติที่เลี่ยน และไม่เผ็ดมาก","6","2565-04-12 22:13","Sweltering =ร้อนระอุ","30"
"2565/04/13 12:11:33 ก่อนเที่ยง GMT+7","ข้าวผัดกะเพรา","Phat kaphrao","4_Meat and Poultry","8","มีใบกะเพราที่หอมกับหมูชิ้นใหญ่ ที่เคี้ยวอย่างเมามัน ใส้น้ำปลาพริกเพื่อความอร่อย ทั้งความเผ็ดที่จัดจ้านในย่านนี้และความเค็มนิดๆ ให้กลมกล่อม ยิ่งกินร้อนๆ ยิ่งอร่อย","9","2022-04-13 18:35","Breezy =มีลมอ่อน","84"
"2565/04/13 12:28:32 ก่อนเที่ยง GMT+7","ผัดไท","Padthai","9_Carbohydrates","8","อร่อย ","9","2022-04-12 12:30","Sunny =แดดจัด","32"
"2565/04/13 12:43:39 ก่อนเที่ยง GMT+7","ข้าวผัดปู","Crab fried rice","9_Carbohydrates","10","อร่อย","8","2022-04-13 13:00","Sunny =แดดจัด","36"
"2565/04/13 9:33:20 ก่อนเที่ยง GMT+7","ส้มตําปูปลาร้า","Papaya Salad","1_Vegetables","9","อร่อยครบรส","10","2022-04-13 09:00","Clear =แจ่มใส","31"
"2565/04/13 7:11:24 หลังเที่ยง GMT+7","ส้มตำปูกุ้งสด","Papaya Salad with Crab and Shrimp","1_Vegetables","9","รสชาติกลมกล่อม ไม่เปรี้ยวไม่เค็มจนเกินไป มีความเผ็ดร้อนของพริกกำลังดี กินคู่กับข้าวเหนียวอุ่นๆยิ่งอร่อย","9","2022-04-13 19:10","Cloudy =มีเมฆมาก","27"
"2565/04/27 7:48:20 หลังเที่ยง GMT+7","ชาบู","shabu","4_Meat and Poultry","10","กินได้เรื่อยๆ อร่อย","8","2022-04-06 12:00","Sweltering =ร้อนระอุ","36"
"2565/04/27 7:48:28 หลังเที่ยง GMT+7","ไข่เจียว","Omelet","4_Meat and Poultry","8","เป็นอาหารที่มีความเรียบง่าย แต่กลับรสชาตินั้นดูดีกว่าที่คิด แถมยังทำง่ายมากด้วย เป็นอาหารที่เหมาะกับมือใหม่ของพ่อครัวแม่ครัวมาก","7","2022-04-26 19:30","Sunny =แดดจัด","33"
"2565/04/27 7:50:02 หลังเที่ยง GMT+7","ไข่ต้ม","Boiled egg","4_Meat and Poultry","6","รสชาติใช้ได้ แถมยังกินง่ายด้วย","7","2022-04-02 07:30","Sunny =แดดจัด","37"
"2565/04/27 7:50:12 หลังเที่ยง GMT+7","ผัดไทย","Pad Thai","9_Carbohydrates","7","เนื้อสัตว์น้อย รสชาติกำลังดี","6","2022-04-11 12:30","Sunny =แดดจัด","37"
"2565/04/27 7:51:29 หลังเที่ยง GMT+7","ปลาทอด","Fryfish","5_Fish and Seafood","6","กำลังดี กินได้","6","2022-04-20 07:00","Breezy =มีลมอ่อน","32"
"2565/04/27 7:51:30 หลังเที่ยง GMT+7","ไข่เหนียว","Sticky rice ","9_Carbohydrates","7","อร่อยและกินง่าย","5","2022-04-05 12:15","Stormy =มีพายุ","37"
"2565/04/27 7:52:49 หลังเที่ยง GMT+7","ส้มตำ","Papaya Salad","2_Fruits","10","เผ็ดเกินไปนิดหน่อยแต่อร่อยมาก","8","2022-03-24 18:12","Breezy =มีลมอ่อน","32"
